[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 14:54:27 ]CCCC :28 [°C], 62.03 RH, 0.9219 bar
[ 14:54:27 ]AAAA :29 [°C], 60.33 RH, 0.9206 bar
[ 14:54:27 ]CACA :28 [°C], 59.95 RH, 0.9213 bar
[ 14:54:28 ]CACA :28 [°C], 59.95 RH, 0.9213 bar
[ 14:54:28 ]BABE :27 [°C], 63.50 RH, 0.9225 bar
[ 14:54:28 ]EEEE :27 [°C], 64.07 RH, 0.9200 bar
[ 14:54:28 ]CACA :28 [°C], 59.95 RH, 0.9213 bar
[ 14:54:28 ]AAAA :29 [°C], 60.33 RH, 0.9219 bar
[ 14:54:30 ]CCCC :28 [°C], 62.03 RH, 0.9219 bar
[ 14:54:30 ]BABE :28 [°C], 63.53 RH, 0.9225 bar
[ 14:54:30 ]CACA :28 [°C], 59.92 RH, 0.9213 bar
[ 14:54:30 ]EEEE :27 [°C], 64.10 RH, 0.9200 bar
[ 14:54:30 ]AAAA :29 [°C], 60.36 RH, 0.9225 bar
[ 14:54:31 ]EEEE :27 [°C], 64.13 RH, 0.9187 bar
[ 14:54:31 ]CACA :28 [°C], 59.92 RH, 0.9213 bar
[ 14:54:31 ]CCCC :28 [°C], 62.03 RH, 0.9200 bar
[ 14:54:31 ]AAAA :29 [°C], 60.39 RH, 0.9225 bar
[ 14:54:31 ]BABE :27 [°C], 63.56 RH, 0.9225 bar
[ 14:54:31 ]AAAA :29 [°C], 60.39 RH, 0.9206 bar
[ 14:54:32 ]CCCC :28 [°C], 62.03 RH, 0.9213 bar
[ 14:54:32 ]EEEE :27 [°C], 64.13 RH, 0.9194 bar
[ 14:54:32 ]BABE :28 [°C], 63.56 RH, 0.9213 bar
[ 14:54:32 ]CACA :28 [°C], 59.89 RH, 0.9213 bar
[ 14:54:32 ]AAAA :29 [°C], 60.39 RH, 0.9206 bar
[ 14:54:33 ]BABE :28 [°C], 63.59 RH, 0.9200 bar
[ 14:54:33 ]EEEE :27 [°C], 64.16 RH, 0.9187 bar
[ 14:54:33 ]CACA :28 [°C], 59.89 RH, 0.9232 bar
[ 14:54:33 ]AAAA :29 [°C], 60.42 RH, 0.9194 bar
[ 14:54:36 ]EEEE :27 [°C], 64.13 RH, 0.9206 bar
[ 14:54:36 ]AAAA :29 [°C], 60.45 RH, 0.9219 bar
[ 14:54:36 ]BABE :27 [°C], 63.62 RH, 0.9206 bar
[ 14:54:36 ]CACA :28 [°C], 59.92 RH, 0.9219 bar
[ 14:54:36 ]CCCC :28 [°C], 62.03 RH, 0.9213 bar
[ 14:54:37 ]CACA :28 [°C], 59.92 RH, 0.9225 bar
[ 14:54:37 ]EEEE :27 [°C], 64.16 RH, 0.9206 bar
[ 14:54:37 ]CCCC :28 [°C], 62.03 RH, 0.9200 bar
[ 14:54:37 ]AAAA :29 [°C], 60.47 RH, 0.9206 bar
[ 14:54:37 ]BABE :27 [°C], 63.64 RH, 0.9225 bar
[ 14:54:38 ]AAAA :29 [°C], 60.51 RH, 0.9225 bar
[ 14:54:38 ]AAAA :29 [°C], 60.51 RH, 0.9225 bar
[ 14:54:38 ]CCCC :28 [°C], 62.03 RH, 0.9232 bar
[ 14:54:38 ]BABE :27 [°C], 63.64 RH, 0.9225 bar
[ 14:54:38 ]CACA :28 [°C], 59.95 RH, 0.9225 bar
[ 14:54:38 ]EEEE :27 [°C], 64.16 RH, 0.9200 bar
[ 14:54:39 ]EEEE :27 [°C], 64.16 RH, 0.9200 bar
[ 14:54:39 ]CACA :28 [°C], 59.97 RH, 0.9219 bar
[ 14:54:39 ]CCCC :28 [°C], 62.03 RH, 0.9213 bar
[ 14:54:39 ]AAAA :29 [°C], 60.47 RH, 0.9206 bar
[ 14:54:39 ]BABE :27 [°C], 63.62 RH, 0.9225 bar
[ 14:54:41 ]CCCC :28 [°C], 62.03 RH, 0.9219 bar
[ 14:54:41 ]EEEE :27 [°C], 64.13 RH, 0.9200 bar
[ 14:54:41 ]AAAA :29 [°C], 60.45 RH, 0.9206 bar
[ 14:54:41 ]BABE :27 [°C], 63.56 RH, 0.9225 bar
[ 14:54:41 ]BABE :27 [°C], 63.56 RH, 0.9225 bar
[ 14:54:41 ]CACA :28 [°C], 59.97 RH, 0.9213 bar
[ 14:54:43 ]EEEE :27 [°C], 64.10 RH, 0.9219 bar
[ 14:54:43 ]CCCC :28 [°C], 62.03 RH, 0.9219 bar
[ 14:54:43 ]AAAA :29 [°C], 60.39 RH, 0.9219 bar
[ 14:54:43 ]CACA :28 [°C], 59.95 RH, 0.9213 bar
[ 14:54:43 ]BABE :27 [°C], 63.53 RH, 0.9213 bar
[ 14:54:48 ]AAAA :29 [°C], 60.36 RH, 0.9206 bar
[ 14:54:48 ]EEEE :27 [°C], 64.10 RH, 0.9200 bar
[ 14:54:48 ]BABE :27 [°C], 63.53 RH, 0.9219 bar
[ 14:54:48 ]CACA :28 [°C], 59.89 RH, 0.9213 bar
[ 14:54:48 ]CCCC :28 [°C], 62.03 RH, 0.9219 bar
[ 14:54:50 ]CCCC :28 [°C], 62.03 RH, 0.9225 bar
[ 14:54:50 ]EEEE :27 [°C], 64.13 RH, 0.9206 bar
[ 14:54:50 ]CACA :28 [°C], 59.89 RH, 0.9225 bar
[ 14:54:50 ]AAAA :29 [°C], 60.42 RH, 0.9213 bar
[ 14:54:52 ]EEEE :27 [°C], 64.13 RH, 0.9200 bar
[ 14:54:52 ]CACA :28 [°C], 59.89 RH, 0.9219 bar
[ 14:54:52 ]AAAA :29 [°C], 60.45 RH, 0.9219 bar
[ 14:54:52 ]CCCC :28 [°C], 62.07 RH, 0.9225 bar
[ 14:54:52 ]BABE :27 [°C], 63.53 RH, 0.9225 bar
[ 14:54:53 ]EEEE :27 [°C], 64.13 RH, 0.9206 bar
[ 14:54:53 ]CCCC :28 [°C], 62.03 RH, 0.9232 bar
[ 14:54:53 ]AAAA :29 [°C], 60.47 RH, 0.9206 bar
[ 14:54:53 ]CACA :28 [°C], 59.86 RH, 0.9225 bar
[ 14:54:53 ]EEEE :27 [°C], 64.13 RH, 0.9200 bar
[ 14:54:53 ]BABE :27 [°C], 63.53 RH, 0.9213 bar
[ 14:54:54 ]EEEE :27 [°C], 64.13 RH, 0.9194 bar
[ 14:54:54 ]AAAA :29 [°C], 60.47 RH, 0.9219 bar
[ 14:54:54 ]CACA :28 [°C], 59.86 RH, 0.9213 bar
[ 14:54:54 ]CCCC :28 [°C], 62.07 RH, 0.9225 bar
[ 14:54:54 ]BABE :27 [°C], 63.56 RH, 0.9213 bar
[ 14:54:56 ]CACA :28 [°C], 59.86 RH, 0.9213 bar
[ 14:54:56 ]EEEE :27 [°C], 64.22 RH, 0.9200 bar
[ 14:54:56 ]BABE :27 [°C], 63.59 RH, 0.9225 bar
[ 14:54:56 ]CCCC :28 [°C], 62.07 RH, 0.9219 bar
[ 14:54:56 ]AAAA :29 [°C], 60.60 RH, 0.9219 bar
[ 14:54:59 ]CACA :28 [°C], 59.92 RH, 0.9219 bar
[ 14:54:59 ]AAAA :29 [°C], 60.69 RH, 0.9206 bar
[ 14:54:59 ]CCCC :28 [°C], 62.07 RH, 0.9206 bar
[ 14:54:59 ]BABE :28 [°C], 63.67 RH, 0.9225 bar
[ 14:55:00 ]EEEE :27 [°C], 64.37 RH, 0.9200 bar
[ 14:55:00 ]CCCC :28 [°C], 62.07 RH, 0.9213 bar
[ 14:55:00 ]AAAA :29 [°C], 60.69 RH, 0.9206 bar
[ 14:55:00 ]EEEE :27 [°C], 64.37 RH, 0.9206 bar
[ 14:55:01 ]CACA :28 [°C], 59.95 RH, 0.9219 bar
[ 14:55:01 ]BABE :28 [°C], 63.70 RH, 0.9225 bar
[ 14:55:01 ]CCCC :28 [°C], 62.07 RH, 0.9219 bar
[ 14:55:01 ]BABE :27 [°C], 63.73 RH, 0.9225 bar
[ 14:55:02 ]CACA :28 [°C], 59.97 RH, 0.9225 bar
[ 14:55:02 ]EEEE :27 [°C], 64.40 RH, 0.9200 bar
[ 14:55:02 ]AAAA :29 [°C], 60.69 RH, 0.9206 bar
[ 14:55:03 ]EEEE :27 [°C], 64.40 RH, 0.9206 bar
[ 14:55:03 ]BABE :28 [°C], 63.79 RH, 0.9225 bar
[ 14:55:03 ]CCCC :28 [°C], 62.10 RH, 0.9225 bar
[ 14:55:03 ]AAAA :29 [°C], 60.66 RH, 0.9206 bar
[ 14:55:03 ]CACA :28 [°C], 59.95 RH, 0.9219 bar
[ 14:55:05 ]EEEE :27 [°C], 64.43 RH, 0.9206 bar
[ 14:55:05 ]CACA :28 [°C], 59.98 RH, 0.9213 bar
[ 14:55:05 ]BABE :28 [°C], 63.84 RH, 0.9225 bar
[ 14:55:05 ]AAAA :29 [°C], 60.66 RH, 0.9213 bar
[ 14:55:05 ]CCCC :28 [°C], 62.16 RH, 0.9219 bar
[ 14:55:06 ]EEEE :27 [°C], 64.43 RH, 0.9200 bar
[ 14:55:06 ]CCCC :28 [°C], 62.16 RH, 0.9213 bar
[ 14:55:06 ]AAAA :29 [°C], 60.66 RH, 0.9219 bar
[ 14:55:06 ]BABE :28 [°C], 63.87 RH, 0.9238 bar
[ 14:55:06 ]CACA :28 [°C], 59.98 RH, 0.9213 bar
[ 14:55:08 ]CCCC :28 [°C], 62.16 RH, 0.9206 bar
[ 14:55:08 ]BABE :27 [°C], 63.90 RH, 0.9225 bar
[ 14:55:08 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:55:08 ]EEEE :27 [°C], 64.43 RH, 0.9219 bar
[ 14:55:08 ]AAAA :29 [°C], 60.69 RH, 0.9219 bar
[ 14:55:09 ]CCCC :28 [°C], 62.16 RH, 0.9206 bar
[ 14:55:09 ]CACA :28 [°C], 59.98 RH, 0.9213 bar
[ 14:55:09 ]EEEE :27 [°C], 64.46 RH, 0.9206 bar
[ 14:55:09 ]AAAA :29 [°C], 60.71 RH, 0.9194 bar
[ 14:55:09 ]BABE :28 [°C], 63.90 RH, 0.9213 bar
[ 14:55:10 ]EEEE :27 [°C], 64.46 RH, 0.9206 bar
[ 14:55:10 ]BABE :28 [°C], 63.90 RH, 0.9206 bar
[ 14:55:10 ]CCCC :28 [°C], 62.16 RH, 0.9206 bar
[ 14:55:10 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:55:10 ]AAAA :29 [°C], 60.71 RH, 0.9206 bar
[ 14:55:11 ]CACA :28 [°C], 59.98 RH, 0.9213 bar
[ 14:55:11 ]EEEE :27 [°C], 64.46 RH, 0.9219 bar
[ 14:55:11 ]BABE :28 [°C], 63.90 RH, 0.9213 bar
[ 14:55:11 ]AAAA :29 [°C], 60.71 RH, 0.9206 bar
[ 14:55:11 ]CCCC :28 [°C], 62.16 RH, 0.9225 bar
[ 14:55:12 ]CACA :28 [°C], 59.98 RH, 0.9213 bar
[ 14:55:12 ]EEEE :27 [°C], 64.46 RH, 0.9200 bar
[ 14:55:12 ]AAAA :29 [°C], 60.69 RH, 0.9219 bar
[ 14:55:12 ]CCCC :28 [°C], 62.16 RH, 0.9213 bar
[ 14:55:12 ]BABE :28 [°C], 63.90 RH, 0.9225 bar
[ 14:55:13 ]EEEE :27 [°C], 64.40 RH, 0.9213 bar
[ 14:55:13 ]AAAA :29 [°C], 60.66 RH, 0.9206 bar
[ 14:55:13 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:55:13 ]CCCC :28 [°C], 62.16 RH, 0.9225 bar
[ 14:55:13 ]BABE :27 [°C], 63.84 RH, 0.9225 bar
[ 14:55:15 ]BABE :28 [°C], 63.79 RH, 0.9213 bar
[ 14:55:15 ]EEEE :27 [°C], 64.37 RH, 0.9200 bar
[ 14:55:15 ]CCCC :28 [°C], 62.13 RH, 0.9200 bar
[ 14:55:15 ]AAAA :29 [°C], 60.60 RH, 0.9206 bar
[ 14:55:15 ]BABE :27 [°C], 63.79 RH, 0.9213 bar
[ 14:55:15 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:55:17 ]EEEE :27 [°C], 64.30 RH, 0.9206 bar
[ 14:55:17 ]AAAA :29 [°C], 60.54 RH, 0.9225 bar
[ 14:55:17 ]BABE :27 [°C], 63.73 RH, 0.9213 bar
[ 14:55:17 ]CACA :28 [°C], 59.95 RH, 0.9225 bar
[ 14:55:17 ]CCCC :28 [°C], 62.10 RH, 0.9225 bar
[ 14:55:18 ]EEEE :27 [°C], 64.30 RH, 0.9200 bar
[ 14:55:18 ]CCCC :28 [°C], 62.10 RH, 0.9213 bar
[ 14:55:18 ]BABE :28 [°C], 63.73 RH, 0.9200 bar
[ 14:55:18 ]AAAA :29 [°C], 60.51 RH, 0.9219 bar
[ 14:55:18 ]CACA :28 [°C], 59.95 RH, 0.9225 bar
[ 14:55:20 ]CCCC :28 [°C], 62.07 RH, 0.9225 bar
[ 14:55:20 ]CACA :28 [°C], 59.92 RH, 0.9232 bar
[ 14:55:20 ]BABE :27 [°C], 63.76 RH, 0.9213 bar
[ 14:55:20 ]EEEE :27 [°C], 64.27 RH, 0.9206 bar
[ 14:55:20 ]CCCC :28 [°C], 62.07 RH, 0.9219 bar
[ 14:55:20 ]AAAA :29 [°C], 60.47 RH, 0.9219 bar
[ 14:55:23 ]EEEE :27 [°C], 64.27 RH, 0.9206 bar
[ 14:55:23 ]CCCC :28 [°C], 62.07 RH, 0.9219 bar
[ 14:55:23 ]CACA :28 [°C], 59.86 RH, 0.9232 bar
[ 14:55:23 ]BABE :27 [°C], 63.76 RH, 0.9213 bar
[ 14:55:23 ]CACA :28 [°C], 59.86 RH, 0.9219 bar
[ 14:55:23 ]AAAA :29 [°C], 60.47 RH, 0.9206 bar
[ 14:55:24 ]EEEE :27 [°C], 64.27 RH, 0.9213 bar
[ 14:55:24 ]AAAA :29 [°C], 60.45 RH, 0.9206 bar
[ 14:55:24 ]CCCC :28 [°C], 62.07 RH, 0.9219 bar
[ 14:55:24 ]BABE :27 [°C], 63.73 RH, 0.9206 bar
[ 14:55:24 ]BABE :27 [°C], 63.73 RH, 0.9206 bar
[ 14:55:24 ]EEEE :27 [°C], 64.27 RH, 0.9200 bar
[ 14:55:25 ]CACA :28 [°C], 59.83 RH, 0.9232 bar
[ 14:55:25 ]BABE :28 [°C], 63.76 RH, 0.9225 bar
[ 14:55:25 ]AAAA :29 [°C], 60.47 RH, 0.9219 bar
[ 14:55:25 ]CCCC :28 [°C], 62.07 RH, 0.9219 bar
[ 14:55:25 ]EEEE :27 [°C], 64.27 RH, 0.9200 bar
[ 14:55:26 ]EEEE :27 [°C], 64.27 RH, 0.9219 bar
[ 14:55:26 ]CCCC :28 [°C], 62.07 RH, 0.9219 bar
[ 14:55:26 ]BABE :28 [°C], 63.76 RH, 0.9225 bar
[ 14:55:26 ]CACA :28 [°C], 59.80 RH, 0.9219 bar
[ 14:55:27 ]AAAA :29 [°C], 60.47 RH, 0.9225 bar
[ 14:55:27 ]CCCC :28 [°C], 62.05 RH, 0.9206 bar
[ 14:55:27 ]EEEE :27 [°C], 64.27 RH, 0.9200 bar
[ 14:55:27 ]AAAA :29 [°C], 60.45 RH, 0.9194 bar
[ 14:55:27 ]CACA :28 [°C], 59.80 RH, 0.9232 bar
[ 14:55:27 ]BABE :27 [°C], 63.76 RH, 0.9225 bar
[ 14:55:28 ]BABE :27 [°C], 63.76 RH, 0.9225 bar
[ 14:55:28 ]BABE :27 [°C], 63.76 RH, 0.9225 bar
[ 14:55:28 ]CCCC :28 [°C], 62.02 RH, 0.9238 bar
[ 14:55:28 ]CACA :28 [°C], 59.77 RH, 0.9219 bar
[ 14:55:29 ]EEEE :27 [°C], 64.27 RH, 0.9213 bar
[ 14:55:29 ]AAAA :29 [°C], 60.45 RH, 0.9219 bar
[ 14:55:29 ]BABE :27 [°C], 63.73 RH, 0.9225 bar
[ 14:55:29 ]AAAA :29 [°C], 60.45 RH, 0.9194 bar
[ 14:55:30 ]CCCC :28 [°C], 62.02 RH, 0.9213 bar
[ 14:55:30 ]CACA :28 [°C], 59.77 RH, 0.9219 bar
[ 14:55:30 ]CACA :28 [°C], 59.77 RH, 0.9219 bar
[ 14:55:30 ]CACA :28 [°C], 59.77 RH, 0.9219 bar
[ 14:55:30 ]EEEE :27 [°C], 64.27 RH, 0.9200 bar
[ 14:55:30 ]CACA :28 [°C], 59.74 RH, 0.9213 bar
[ 14:55:30 ]EEEE :27 [°C], 64.27 RH, 0.9206 bar
[ 14:55:30 ]AAAA :29 [°C], 60.45 RH, 0.9213 bar
[ 14:55:31 ]CCCC :28 [°C], 62.02 RH, 0.9206 bar
[ 14:55:31 ]CCCC :28 [°C], 62.02 RH, 0.9206 bar
[ 14:55:31 ]BABE :27 [°C], 63.73 RH, 0.9232 bar
[ 14:55:31 ]EEEE :27 [°C], 64.27 RH, 0.9194 bar
[ 14:55:32 ]CCCC :28 [°C], 61.99 RH, 0.9206 bar
[ 14:55:32 ]AAAA :29 [°C], 60.42 RH, 0.9219 bar
[ 14:55:32 ]BABE :27 [°C], 63.73 RH, 0.9225 bar
[ 14:55:32 ]EEEE :27 [°C], 64.27 RH, 0.9206 bar
[ 14:55:32 ]CCCC :28 [°C], 61.99 RH, 0.9213 bar
[ 14:55:32 ]AAAA :29 [°C], 60.42 RH, 0.9219 bar
[ 14:55:32 ]CACA :28 [°C], 59.74 RH, 0.9232 bar
[ 14:55:34 ]EEEE :27 [°C], 64.27 RH, 0.9200 bar
[ 14:55:34 ]CCCC :28 [°C], 61.99 RH, 0.9225 bar
[ 14:55:34 ]CACA :28 [°C], 59.74 RH, 0.9213 bar
[ 14:55:34 ]AAAA :29 [°C], 60.45 RH, 0.9213 bar
[ 14:55:34 ]BABE :27 [°C], 63.76 RH, 0.9225 bar
[ 14:55:35 ]EEEE :27 [°C], 64.27 RH, 0.9206 bar
[ 14:55:35 ]CCCC :28 [°C], 61.99 RH, 0.9225 bar
[ 14:55:35 ]AAAA :29 [°C], 60.45 RH, 0.9206 bar
[ 14:55:35 ]CACA :28 [°C], 59.74 RH, 0.9213 bar
[ 14:55:35 ]BABE :27 [°C], 63.76 RH, 0.9213 bar
[ 14:55:37 ]EEEE :27 [°C], 64.30 RH, 0.9206 bar
[ 14:55:37 ]CCCC :28 [°C], 61.96 RH, 0.9225 bar
[ 14:55:37 ]AAAA :29 [°C], 60.51 RH, 0.9225 bar
[ 14:55:37 ]BABE :27 [°C], 63.79 RH, 0.9213 bar
[ 14:55:37 ]CACA :28 [°C], 59.74 RH, 0.9219 bar
[ 14:55:39 ]BABE :27 [°C], 63.79 RH, 0.9225 bar
[ 14:55:39 ]AAAA :29 [°C], 60.54 RH, 0.9206 bar
[ 14:55:39 ]EEEE :27 [°C], 64.37 RH, 0.9200 bar
[ 14:55:39 ]CACA :28 [°C], 59.74 RH, 0.9219 bar
[ 14:55:39 ]CCCC :28 [°C], 61.96 RH, 0.9206 bar
[ 14:55:40 ]AAAA :29 [°C], 60.60 RH, 0.9206 bar
[ 14:55:40 ]CCCC :28 [°C], 61.96 RH, 0.9213 bar
[ 14:55:40 ]BABE :28 [°C], 63.82 RH, 0.9213 bar
[ 14:55:40 ]CACA :28 [°C], 59.74 RH, 0.9219 bar
[ 14:55:40 ]EEEE :27 [°C], 64.40 RH, 0.9219 bar
[ 14:55:42 ]BABE :27 [°C], 63.84 RH, 0.9225 bar
[ 14:55:42 ]CACA :28 [°C], 59.77 RH, 0.9219 bar
[ 14:55:42 ]EEEE :27 [°C], 64.43 RH, 0.9206 bar
[ 14:55:42 ]AAAA :29 [°C], 60.66 RH, 0.9200 bar
[ 14:55:42 ]CCCC :28 [°C], 62.02 RH, 0.9238 bar
[ 14:55:43 ]AAAA :29 [°C], 60.69 RH, 0.9206 bar
[ 14:55:43 ]CCCC :28 [°C], 62.07 RH, 0.9206 bar
[ 14:55:43 ]AAAA :29 [°C], 60.69 RH, 0.9206 bar
[ 14:55:43 ]CACA :28 [°C], 59.77 RH, 0.9213 bar
[ 14:55:43 ]EEEE :27 [°C], 64.46 RH, 0.9206 bar
[ 14:55:43 ]BABE :27 [°C], 63.87 RH, 0.9225 bar
[ 14:55:43 ]CCCC :28 [°C], 62.07 RH, 0.9225 bar
[ 14:55:44 ]CACA :28 [°C], 59.80 RH, 0.9219 bar
[ 14:55:44 ]CACA :28 [°C], 59.80 RH, 0.9219 bar
[ 14:55:44 ]CCCC :28 [°C], 62.07 RH, 0.9213 bar
[ 14:55:44 ]AAAA :29 [°C], 60.71 RH, 0.9225 bar
[ 14:55:44 ]EEEE :27 [°C], 64.48 RH, 0.9219 bar
[ 14:55:46 ]CACA :28 [°C], 59.92 RH, 0.9219 bar
[ 14:55:46 ]EEEE :27 [°C], 64.54 RH, 0.9206 bar
[ 14:55:46 ]BABE :27 [°C], 63.90 RH, 0.9225 bar
[ 14:55:46 ]AAAA :29 [°C], 60.74 RH, 0.9219 bar
[ 14:55:46 ]CCCC :28 [°C], 62.10 RH, 0.9225 bar
[ 14:55:47 ]EEEE :27 [°C], 64.54 RH, 0.9194 bar
[ 14:55:47 ]BABE :27 [°C], 63.93 RH, 0.9238 bar
[ 14:55:47 ]CCCC :28 [°C], 62.10 RH, 0.9213 bar
[ 14:55:47 ]CACA :28 [°C], 59.95 RH, 0.9225 bar
[ 14:55:47 ]AAAA :29 [°C], 60.74 RH, 0.9219 bar
[ 14:55:50 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:55:50 ]EEEE :27 [°C], 64.57 RH, 0.9206 bar
[ 14:55:50 ]BABE :27 [°C], 63.95 RH, 0.9225 bar
[ 14:55:50 ]CCCC :28 [°C], 62.16 RH, 0.9225 bar
[ 14:55:50 ]AAAA :29 [°C], 60.77 RH, 0.9213 bar
[ 14:55:51 ]EEEE :27 [°C], 64.57 RH, 0.9194 bar
[ 14:55:51 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:55:51 ]AAAA :29 [°C], 60.77 RH, 0.9206 bar
[ 14:55:51 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:55:51 ]CCCC :28 [°C], 62.16 RH, 0.9206 bar
[ 14:55:51 ]BABE :27 [°C], 64.01 RH, 0.9213 bar
[ 14:55:52 ]EEEE :27 [°C], 64.57 RH, 0.9206 bar
[ 14:55:52 ]EEEE :27 [°C], 64.57 RH, 0.9206 bar
[ 14:55:52 ]CCCC :28 [°C], 62.16 RH, 0.9225 bar
[ 14:55:52 ]AAAA :29 [°C], 60.77 RH, 0.9219 bar
[ 14:55:52 ]CACA :28 [°C], 59.98 RH, 0.9213 bar
[ 14:55:52 ]CCCC :28 [°C], 62.16 RH, 0.9219 bar
[ 14:55:52 ]BABE :27 [°C], 64.01 RH, 0.9213 bar
[ 14:55:53 ]AAAA :29 [°C], 60.77 RH, 0.9225 bar
[ 14:55:53 ]AAAA :29 [°C], 60.77 RH, 0.9225 bar
[ 14:55:53 ]BABE :27 [°C], 64.04 RH, 0.9225 bar
[ 14:55:53 ]AAAA :29 [°C], 60.77 RH, 0.9219 bar
[ 14:55:53 ]CCCC :28 [°C], 62.13 RH, 0.9219 bar
[ 14:55:53 ]EEEE :27 [°C], 64.57 RH, 0.9200 bar
[ 14:55:54 ]CACA :28 [°C], 59.98 RH, 0.9232 bar
[ 14:55:54 ]CACA :28 [°C], 59.95 RH, 0.9219 bar
[ 14:55:54 ]EEEE :27 [°C], 64.57 RH, 0.9206 bar
[ 14:55:54 ]BABE :27 [°C], 64.04 RH, 0.9225 bar
[ 14:55:54 ]CCCC :28 [°C], 62.13 RH, 0.9213 bar
[ 14:55:54 ]AAAA :29 [°C], 60.74 RH, 0.9219 bar
[ 14:55:56 ]BABE :27 [°C], 64.01 RH, 0.9225 bar
[ 14:55:56 ]CCCC :28 [°C], 62.10 RH, 0.9213 bar
[ 14:55:56 ]AAAA :29 [°C], 60.71 RH, 0.9213 bar
[ 14:55:56 ]EEEE :27 [°C], 64.54 RH, 0.9206 bar
[ 14:55:56 ]CACA :28 [°C], 59.95 RH, 0.9213 bar
[ 14:56:00 ]BABE :27 [°C], 64.01 RH, 0.9213 bar
[ 14:56:00 ]AAAA :29 [°C], 60.66 RH, 0.9213 bar
[ 14:56:01 ]CACA :28 [°C], 59.98 RH, 0.9219 bar
[ 14:56:01 ]AAAA :29 [°C], 60.66 RH, 0.9219 bar
[ 14:56:01 ]EEEE :27 [°C], 64.48 RH, 0.9206 bar
[ 14:56:01 ]CCCC :28 [°C], 62.13 RH, 0.9225 bar
[ 14:56:02 ]BABE :27 [°C], 64.01 RH, 0.9213 bar
[ 14:56:02 ]CCCC :28 [°C], 62.10 RH, 0.9213 bar
[ 14:56:03 ]CACA :28 [°C], 59.98 RH, 0.9213 bar
[ 14:56:03 ]EEEE :27 [°C], 64.52 RH, 0.9219 bar
[ 14:56:03 ]AAAA :29 [°C], 60.63 RH, 0.9225 bar
[ 14:56:07 ]BABE :27 [°C], 64.01 RH, 0.9225 bar
[ 14:56:07 ]CACA :28 [°C], 59.95 RH, 0.9219 bar
[ 14:56:07 ]EEEE :27 [°C], 64.52 RH, 0.9213 bar
[ 14:56:08 ]CCCC :28 [°C], 62.10 RH, 0.9225 bar
[ 14:56:08 ]AAAA :29 [°C], 60.63 RH, 0.9206 bar
[ 14:56:09 ]CACA :28 [°C], 59.95 RH, 0.9213 bar
[ 14:56:09 ]AAAA :29 [°C], 60.66 RH, 0.9219 bar
[ 14:56:09 ]BABE :27 [°C], 64.04 RH, 0.9225 bar
[ 14:56:09 ]CCCC :28 [°C], 62.10 RH, 0.9206 bar
[ 14:56:09 ]EEEE :27 [°C], 64.52 RH, 0.9206 bar
[ 14:56:10 ]CACA :28 [°C], 59.95 RH, 0.9219 bar
[ 14:56:10 ]EEEE :27 [°C], 64.55 RH, 0.9219 bar
[ 14:56:10 ]EEEE :27 [°C], 64.55 RH, 0.9187 bar
[ 14:56:10 ]EEEE :27 [°C], 64.55 RH, 0.9187 bar
[ 14:56:10 ]AAAA :29 [°C], 60.66 RH, 0.9219 bar
[ 14:56:10 ]BABE :27 [°C], 64.04 RH, 0.9213 bar
[ 14:56:10 ]CCCC :28 [°C], 62.10 RH, 0.9219 bar
[ 14:56:10 ]EEEE :27 [°C], 64.55 RH, 0.9206 bar
[ 14:56:11 ]BABE :27 [°C], 64.04 RH, 0.9225 bar
[ 14:56:11 ]AAAA :29 [°C], 60.69 RH, 0.9219 bar
[ 14:56:11 ]CACA :28 [°C], 59.95 RH, 0.9225 bar
[ 14:56:11 ]CCCC :28 [°C], 62.10 RH, 0.9225 bar
[ 14:56:11 ]EEEE :27 [°C], 64.55 RH, 0.9206 bar
[ 14:56:12 ]CACA :28 [°C], 59.92 RH, 0.9232 bar
[ 14:56:12 ]EEEE :27 [°C], 64.55 RH, 0.9219 bar
[ 14:56:12 ]BABE :27 [°C], 64.07 RH, 0.9225 bar
[ 14:56:12 ]CCCC :28 [°C], 62.10 RH, 0.9238 bar
[ 14:56:12 ]AAAA :29 [°C], 60.71 RH, 0.9219 bar
[ 14:56:13 ]CACA :28 [°C], 59.92 RH, 0.9219 bar
[ 14:56:13 ]CCCC :28 [°C], 62.10 RH, 0.9219 bar
[ 14:56:13 ]CCCC :28 [°C], 62.10 RH, 0.9213 bar
[ 14:56:13 ]BABE :27 [°C], 64.07 RH, 0.9213 bar
[ 14:56:13 ]AAAA :29 [°C], 60.71 RH, 0.9219 bar
[ 14:56:13 ]EEEE :27 [°C], 64.55 RH, 0.9194 bar
[ 14:56:13 ]EEEE :27 [°C], 64.58 RH, 0.9206 bar
[ 14:56:14 ]CACA :28 [°C], 59.92 RH, 0.9219 bar
[ 14:56:14 ]CCCC :28 [°C], 62.10 RH, 0.9225 bar
